[salerno@correns stats]$ head Pr-output-b.stats 


2891        ## loci with > minsp containing data
2870        ## loci with > minsp containing data & paralogs removed
2869        ## loci with > minsp containing data & paralogs removed & final filtering


## nloci = number of loci with data for exactly ntaxa
## ntotal = number of loci for which at least ntaxa have data
ntaxa	nloci	saved	ntotal
1	-
2	-		-
3	-		-
4	1569	*	2869
5	857	*	1300
6	317	*	443
7	113	*	126
8	10	*	13
9	1	*	3
10	0	*	2
11	1	*	2
12	0	*	1
13	0	*	1
14	1	*	1


## nvar = number of loci containing n variable sites (pis+autapomorphies).
## sumvar = sum of variable sites (SNPs).
## pis = number of loci containing n parsimony informative sites.
## sumpis = sum of parsimony informative sites.
	nvar	sumvar	PIS	sumPIS
0	1511	0	2227	0
1	551	551	295	295
2	258	1067	153	601
3	175	1592	85	856
4	100	1992	40	1016
5	76	2372	30	1166
6	30	2552	13	1244
7	36	2804	10	1314
8	18	2948	3	1338
9	17	3101	7	1401
10	7	3171	1	1411
11	7	3248	1	1422
12	8	3344	1	1434
13	9	3461	1	1447
14	7	3559	2	1475
15	10	3709	0	1475
16	8	3837	0	1475
17	1	3854	0	1475
18	6	3962	0	1475
19	6	4076	0	1475
20	5	4176	0	1475
21	2	4218	0	1475
22	2	4262	0	1475
23	0	4262	0	1475
24	4	4358	0	1475
25	2	4408	0	1475
26	0	4408	0	1475
27	2	4462	0	1475
28	2	4518	0	1475
29	2	4576	0	1475
30	0	4576	0	1475
31	1	4607	0	1475
32	0	4607	0	1475
33	0	4607	0	1475
34	1	4641	0	1475
35	0	4641	0	1475
36	1	4677	0	1475
37	1	4714	0	1475
38	0	4714	0	1475
39	0	4714	0	1475
40	0	4714	0	1475
41	0	4714	0	1475
42	0	4714	0	1475
43	0	4714	0	1475
44	0	4714	0	1475
45	0	4714	0	1475
46	0	4714	0	1475
47	1	4761	0	1475
48	0	4761	0	1475
49	0	4761	0	1475
50	0	4761	0	1475
51	1	4812	0	1475
52	0	4812	0	1475
53	0	4812	0	1475
54	0	4812	0	1475
55	0	4812	0	1475
56	0	4812	0	1475
57	1	4869	0	1475
total var= 4869
total pis= 1475
