

Depths of Coverage for Processed Samples:
Pr_Legacy_01: 6.55x
Pr_Legacy_02: 6.94x
Pr_Legacy_08-2: 5.43x
Pr_Legacy_11-2: 5.97x
Pr_Legacy_12-2: 5.45x
Pr_Legacy_15-2: 5.29x
Pr_Legacy_19-2: 5.27x
Pr_Legacy_20-2: 5.39x
Pr_SCA_01: 5.07x
Pr_SCA_03-3: 5.19x
Pr_SCA_04-3: 5.99x
Pr_SCA_07-3: 5.07x
Pr_SCA_08-3: 7.11x
Pr_SCA_09-3: 6.76x
Pr_SCA_10-3: 7.56x
Pr_SCA_12-3: 5.69x
Pr_SCA_17-3: 7.71x
Pr_SCA_18-3: 6.87x
Pr_SCA_19-3: 8.50x
Pr_SCA_20-3: 7.28x
Pr_SCA_21-4: 6.44x
Pr_SCA_22-4: 5.45x
Pr_SCA_24-4: 5.92x
Pr_SCA_25-4: 5.71x
Pr_SCA_26-4: 6.18x
Pr_SCA_27-4: 6.67x
Pr_SCA_28-4: 7.49x
Pr_SCA_29-4: 7.22x
Pr_SCA_30-4: 5.69x
Pr_SCA_31-4: 7.58x
Pr_SCA_32-4: 5.88x
Pr_SCA_33-4: 6.99x
Pr_SCA_34-4: 6.06x
Pr_SCA_35-4: 8.55x
Pr_SCA_36-4: 7.16x
Pr_SCA_37-4: 9.13x
Pr_SCA_38-4: 7.08x
Pr_SCA_39-4: 6.40x
Pr_SCA_40-4: 7.22x
Pr_SCI_01: 13.12x
Pr_SCI_02: 8.92x
Pr_SCI_03-PE_purged-1: 9.22x
Pr_SCI_04-PE_purged-1: 6.57x
Pr_SCI_05-PE_purged-1: 6.94x
Pr_SCI_06-PE_purged-1: 7.29x
Pr_SCI_07: 9.11x
Pr_SCI_08: 6.43x
Pr_SCI_09: 8.36x
Pr_SCI_10: 7.64x
Pr_SCI_11: 9.85x
Pr_SCI_12: 6.67x
Pr_SCI_13: 6.78x
Pr_SCI_14: 9.47x
Pr_SCI_15: 5.98x
Pr_SCI_16: 7.79x
Pr_SCI_17: 8.16x
Pr_SCI_18: 7.35x
Pr_SCI_19: 8.81x
Pr_SCI_20: 10.39x
Pr_SCI_22: 7.03x
Pr_SCI_23: 8.88x
Pr_SCI_24: 9.20x
Pr_SCI_25: 7.82x
Pr_SCI_26: 8.12x
Pr_SCI_27: 7.49x
Pr_SCI_28: 6.75x
Pr_SCI_29: 7.93x
Pr_SCI_30: 8.92x
Pr_SCI_31: 8.30x
Pr_SCI_32: 10.08x
Pr_SCI_33: 6.48x
Pr_SCI_34: 5.64x
Pr_SCI_35: 7.46x
Pr_SCI_37: 7.71x
Pr_SCI_38: 7.75x
Pr_SCI_39: 6.45x
Pr_SCI_40: 6.87x
Pr_SCI_41: 6.97x
Pr_SRI_02-PE_purged-1: 10.09x
Pr_SRI_03-PE_purged-1: 6.83x
Pr_SRI_04-PE_purged-1: 6.76x
Pr_SRI_05-PE_purged-1: 6.51x
Pr_SRI_06: 5.59x
Pr_SRI_07: 5.65x
Pr_SRI_10: 5.45x
Pr_SRI_11: 6.51x
Pr_SRI_12: 5.65x
Pr_SRI_14-2: 5.43x
Pr_SRI_15-2: 5.32x
Pr_SRI_16-2: 5.33x
Pr_SRI_18-2: 6.79x
Pr_SRI_19-2: 6.02x
Pr_SRI_21-4: 8.41x
Pr_SRI_22-4: 6.61x
Pr_SRI_23-4: 6.48x
Pr_SRI_24-4: 6.57x
Pr_SRI_26-4: 6.50x
Pr_SRI_27-4: 6.11x
Pr_SRI_28-4: 6.13x
Pr_SRI_29-4: 6.08x
Pr_SRI_30-4: 6.51x
Pr_SRI_31-4: 6.60x
Pr_SRI_32-4: 6.66x
Pr_SRI_34-4: 6.22x
Pr_SRI_35-4: 6.35x
Pr_SRI_36-4: 5.92x
Pr_SRI_37-4: 5.97x
Pr_SRI_38-4: 5.61x
Pr_SRI_39-4: 5.52x
Pr_SRI_40-4: 5.54x
