

Depths of Coverage for Processed Samples:
Xr_SBI_03-PE_purged: 6.73x
Xr_SBI_04-PE_purged: 8.72x
Xr_SBI_12-2: 5.75x
Xr_SBI_26-4: 5.25x
Xr_SBI_28-4: 4.80x
Xr_SBI_29-4: 5.17x
Xr_SBI_30-4: 5.58x
Xr_SBI_31-4: 5.70x
Xr_SBI_32-4: 5.36x
Xr_SBI_33-4: 4.55x
Xr_SBI_34-5: 4.43x
Xr_SBI_37-5: 8.52x
Xr_SBI_38-5: 6.04x
Xr_SBI_39-5: 7.14x
Xr_SBI_41-5: 8.13x
Xr_SBI_43-5: 4.50x
Xr_SBI_44-5: 4.88x
Xr_SCL_02b-2: 6.30x
Xr_SCL_03: 7.44x
Xr_SCL_04: 11.48x
Xr_SCL_05-1: 9.33x
Xr_SCL_06: 11.82x
Xr_SCL_07-1: 7.34x
Xr_SCL_08: 10.53x
Xr_SCL_09: 15.12x
Xr_SCL_10: 14.73x
Xr_SCL_11: 13.21x
Xr_SCL_12: 18.55x
Xr_SCL_13: 12.68x
Xr_SCL_14: 11.16x
Xr_SCL_15-1: 7.59x
Xr_SCL_17: 12.04x
Xr_SCL_18: 11.23x
Xr_SCL_19: 10.72x
Xr_SCL_20: 11.29x
Xr_SCL_21: 12.53x
Xr_SCL_22: 13.31x
Xr_SCL_23: 13.76x
Xr_SCL_24: 11.45x
Xr_SCL_25: 10.80x
Xr_SCL_26: 9.35x
Xr_SCL_27-PE_purged: 8.91x
Xr_SCL_28-PE_purged: 10.92x
Xr_SCL_29-5: 7.10x
Xr_SCL_30-5: 5.15x
Xr_SCL_31-5: 5.37x
Xr_SCL_33-5: 19.52x
Xr_SCL_34-5: 21.01x
Xr_SCL_35-5: 5.24x
Xr_SCL_37-5: 8.20x
Xr_SCL_39-5: 7.67x
Xr_SCL_40-5: 5.53x
Xr_SCL_41-5: 5.71x
Xr_SCL_42-5: 5.64x
Xr_SNI_03: 13.38x
Xr_SNI_04: 9.09x
Xr_SNI_05: 9.23x
Xr_SNI_06: 10.75x
Xr_SNI_07: 18.67x
Xr_SNI_08: 15.45x
Xr_SNI_09: 13.03x
Xr_SNI_10: 10.51x
Xr_SNI_11: 8.32x
Xr_SNI_12: 9.95x
Xr_SNI_13: 15.58x
Xr_SNI_14: 23.05x
Xr_SNI_15: 24.25x
Xr_SNI_16: 12.34x
Xr_SNI_17: 16.55x
Xr_SNI_18: 11.72x
Xr_SNI_19: 14.03x
Xr_SNI_20: 10.77x
Xr_SNI_21: 9.06x
Xr_SNI_22: 11.42x
Xr_SNI_23: 10.03x
Xr_SNI_24: 7.86x
Xr_SNI_25: 7.79x
Xr_SNI_26: 12.30x
Xr_SNI_27-PE_purged: 5.63x
Xr_SNI_28-PE_purged: 10.52x
Xr_SNI_32-5: 4.56x
Xr_SNI_33-5: 4.79x
Xr_SNI_35-5: 4.60x
Xr_SNI_36-5: 4.81x
Xr_SNI_37-5: 4.84x
Xr_SNI_39-5: 6.16x
Xr_SNI_40-5: 9.40x
Xr_SNI_41-5: 10.65x
Xr_SNI_43-5: 6.81x
Xr_SNI_44-5: 9.58x
Xr_SNI_45-5: 14.89x
Xr_SNI_46-5: 6.20x
Xr_SNI_48-5: 5.42x
Xv_JTS_03-PE_purged: 8.33x
Xv_JTS_04-PE_purged: 16.79x
Xv_JTS_10-2: 6.97x
Xv_JTS_19-2: 7.02x
Xv_JTS_20-2: 7.71x
Xv_JTS_22-2: 11.62x
Xv_JTS_26-2: 6.20x
