

Depths of Coverage for Processed Samples:
Xr_SBI_03-PE_purged: 9.02x
Xr_SBI_04-PE_purged: 11.20x
Xr_SBI_12-2: 8.67x
Xr_SBI_26-4: 9.46x
Xr_SBI_28-4: 8.08x
Xr_SBI_29-4: 8.78x
Xr_SBI_30-4: 9.80x
Xr_SBI_31-4: 8.79x
Xr_SBI_32-4: 8.80x
Xr_SBI_33-4: 8.06x
Xr_SBI_34-5: 7.69x
Xr_SBI_37-5: 12.18x
Xr_SBI_38-5: 9.24x
Xr_SBI_39-5: 11.17x
Xr_SBI_41-5: 11.43x
Xr_SBI_43-5: 7.63x
Xr_SBI_44-5: 8.08x
Xr_SCL_02b-2: 9.16x
Xr_SCL_03: 9.94x
Xr_SCL_04: 15.30x
Xr_SCL_05-1: 12.37x
Xr_SCL_06: 15.07x
Xr_SCL_07-1: 11.13x
Xr_SCL_08: 13.47x
Xr_SCL_09: 19.77x
Xr_SCL_10: 18.11x
Xr_SCL_11: 16.54x
Xr_SCL_12: 25.58x
Xr_SCL_13: 17.29x
Xr_SCL_14: 14.86x
Xr_SCL_15-1: 10.93x
Xr_SCL_17: 16.72x
Xr_SCL_18: 14.58x
Xr_SCL_19: 14.25x
Xr_SCL_20: 15.44x
Xr_SCL_21: 16.48x
Xr_SCL_22: 16.79x
Xr_SCL_23: 17.31x
Xr_SCL_24: 15.20x
Xr_SCL_25: 14.66x
Xr_SCL_26: 12.99x
Xr_SCL_27-PE_purged: 11.18x
Xr_SCL_28-PE_purged: 13.74x
Xr_SCL_29-5: 10.82x
Xr_SCL_30-5: 7.83x
Xr_SCL_31-5: 7.88x
Xr_SCL_33-5: 22.13x
Xr_SCL_34-5: 23.74x
Xr_SCL_35-5: 7.68x
Xr_SCL_37-5: 10.72x
Xr_SCL_39-5: 10.55x
Xr_SCL_40-5: 8.03x
Xr_SCL_41-5: 8.16x
Xr_SCL_42-5: 8.10x
Xr_SNI_03: 18.25x
Xr_SNI_04: 11.80x
Xr_SNI_05: 11.90x
Xr_SNI_06: 14.59x
Xr_SNI_07: 22.86x
Xr_SNI_08: 18.75x
Xr_SNI_09: 16.09x
Xr_SNI_10: 13.94x
Xr_SNI_11: 11.15x
Xr_SNI_12: 12.73x
Xr_SNI_13: 18.97x
Xr_SNI_14: 28.85x
Xr_SNI_15: 32.58x
Xr_SNI_16: 15.15x
Xr_SNI_17: 22.36x
Xr_SNI_18: 15.52x
Xr_SNI_19: 20.15x
Xr_SNI_20: 14.10x
Xr_SNI_21: 12.11x
Xr_SNI_22: 14.46x
Xr_SNI_23: 12.98x
Xr_SNI_24: 10.61x
Xr_SNI_25: 11.02x
Xr_SNI_26: 15.83x
Xr_SNI_27-PE_purged: 8.16x
Xr_SNI_28-PE_purged: 12.99x
Xr_SNI_32-5: 8.21x
Xr_SNI_33-5: 8.24x
Xr_SNI_35-5: 7.91x
Xr_SNI_36-5: 8.11x
Xr_SNI_37-5: 8.16x
Xr_SNI_39-5: 10.07x
Xr_SNI_40-5: 16.52x
Xr_SNI_41-5: 17.61x
Xr_SNI_43-5: 11.98x
Xr_SNI_44-5: 14.71x
Xr_SNI_45-5: 21.59x
Xr_SNI_46-5: 10.45x
Xr_SNI_48-5: 8.72x
Xv_JTS_03-PE_purged: 11.03x
Xv_JTS_04-PE_purged: 19.34x
Xv_JTS_10-2: 10.22x
Xv_JTS_19-2: 9.93x
Xv_JTS_20-2: 11.01x
Xv_JTS_22-2: 16.42x
Xv_JTS_26-2: 9.47x
