taxa	H	E
Pr_SRI_01.fq	0.03299243	0.01654303	
Pr_SCA_11-3.fq	0.04406705	0.01184829	
Pr_SRI_09.fq	0.04851519	0.01144591	
Pr_SRI_13-2.fq	0.04973947	0.0114387	
Pr_SCA_16-3.fq	0.04299807	0.01202757	
Pr_SRI_20-2.fq	0.0331499	0.00730075	
Pr_SRI_17-2.fq	0.03129664	0.00653029	
Pr_Legacy_04-2.fq	0.04610646	0.01131472	
Pr_SCI_36.fq	0.03785278	0.01054894	
Pr_SCA_13-3.fq	0.03951941	0.00869633	
Pr_SCI_21-3.fq	0.03561787	0.00791283	
Pr_SRI_08.fq	0.04271699	0.00963241	
Pr_SRI_15-2.fq	0.04001486	0.00900035	
Pr_Legacy_14-2.fq	0.04115841	0.00905223	
Pr_SRI_33-4.fq	0.04105962	0.00842189	
Pr_SRI_19-2.fq	0.02565562	0.00556666	
Pr_SCI_15.fq	0.02686239	0.00658534	
Pr_SRI_25-4.fq	0.04249411	0.00782269	
Pr_SRI_10.fq	0.03757708	0.00752349	
Pr_SCI_34.fq	0.03338071	0.00717745	
Pr_Legacy_03-2.fq	0.04245783	0.00997354	
Pr_SCA_14-3.fq	0.04442546	0.01241574	
Pr_Legacy_10-2.fq	0.04171385	0.00914973	
Pr_SRI_14-2.fq	0.0392162	0.00759379	
Pr_SRI_16-2.fq	0.04078424	0.00796668	
Pr_SCA_23-4.fq	0.04145818	0.00785814	
Pr_Legacy_12-2.fq	0.03761433	0.00799964	
Pr_SRI_39-4.fq	0.03655185	0.00738627	
Pr_SRI_06.fq	0.03534164	0.00712574	
Pr_SRI_18-2.fq	0.02045217	0.00435475	
Pr_SRI_40-4.fq	0.03550219	0.00707061	
Pr_SCI_08.fq	0.02261793	0.00504871	
Pr_SCI_12.fq	0.02105103	0.00501687	
Pr_SCI_39.fq	0.02320405	0.00532815	
Pr_SRI_38-4.fq	0.03448352	0.00681089	
Pr_Legacy_16-2.fq	0.04146611	0.00903466	
Pr_SCA_22-4.fq	0.03714718	0.00788211	
Pr_SRI_07.fq	0.03494433	0.0073541	
Pr_SCI_33.fq	0.0236557	0.00590491	
Pr_SRI_12.fq	0.03552419	0.00707569	
Pr_SCA_24-4.fq	0.02887468	0.00612541	
Pr_SRI_36-4.fq	0.02893872	0.00618166	
Pr_Legacy_08-2.fq	0.03640518	0.00757546	
Pr_SCI_13.fq	0.0203122	0.00493038	
Pr_SRI_29-4.fq	0.02733759	0.00580182	
Pr_SRI_28-4.fq	0.02656656	0.00571813	
Pr_Legacy_09-2.fq	0.0401684	0.00875072	
Pr_SRI_24-4.fq	0.02210832	0.00507922	
Pr_SCA_21-4.fq	0.02353043	0.00543042	
Pr_SCI_28.fq	0.02138761	0.00492648	
Pr_SRI_37-4.fq	0.0284025	0.00632922	
Pr_Legacy_05-2.fq	0.04608925	0.01110948	
Pr_SCI_40.fq	0.02053328	0.00479611	
Pr_SCI_10.fq	0.01656693	0.00397036	
Pr_SRI_34-4.fq	0.02543264	0.00582937	
Pr_SRI_27-4.fq	0.02697707	0.00587065	
Pr_SRI_35-4.fq	0.02401494	0.00534791	
Pr_Legacy_18-2.fq	0.04392887	0.01113812	
Pr_SCI_16.fq	0.01619919	0.00360033	
Pr_SCI_27.fq	0.01684768	0.00399449	
Pr_Legacy_19-2.fq	0.04095269	0.00995564	
Pr_SCA_25-4.fq	0.03123297	0.00664723	
Pr_Legacy_06-2.fq	0.04710097	0.01030191	
Pr_SCI_18.fq	0.01794527	0.00439276	
Pr_SRI_23-4.fq	0.0229715	0.00500559	
Pr_SRI_11.fq	0.02351127	0.00552505	
Pr_SRI_26-4.fq	0.02293914	0.00493747	
Pr_SCI_29.fq	0.01545474	0.00363738	
Pr_SRI_22-4.fq	0.02223454	0.00475062	
Pr_SRI_03-PE_purged-1.fq_1	0.03572695	0.01086709	
Pr_Legacy_07-2.fq	0.04140544	0.00957018	
Pr_SRI_30-4.fq	0.0228306	0.00514914	
Pr_SCI_22.fq	0.01969334	0.00502482	
Pr_SCI_09.fq	0.01426429	0.00364141	
Pr_SCA_26-4.fq	0.02595128	0.0053627	
Pr_SRI_32-4.fq	0.02204258	0.00473278	
Pr_SCI_25.fq	0.01610183	0.00390793	
Pr_SCI_41.fq	0.01999672	0.00507002	
Pr_SCA_04-3.fq	0.02630957	0.00605962	
Pr_SCI_26.fq	0.01500552	0.00349388	
Pr_SCI_17.fq	0.01489789	0.00386055	
Pr_Legacy_01.fq	0.02551292	0.0057504	
Pr_SRI_31-4.fq	0.02227867	0.00513609	
Pr_SCI_07.fq	0.01322444	0.00327192	
Pr_SCA_06-3.fq	0.04678591	0.0110738	
Pr_SCI_02.fq	0.01362982	0.00340958	
Pr_SCI_37.fq	0.01696995	0.00435453	
Pr_SCI_30.fq	0.01358357	0.00355416	
Pr_SCI_19.fq	0.01371149	0.00330099	
Pr_SCI_35.fq	0.0180664	0.00441408	
Pr_SCI_24.fq	0.013204	0.00318285	
Pr_SCI_38.fq	0.01658956	0.0038502	
Pr_SCA_28-4.fq	0.01755592	0.00402814	
