taxon          	nloci	f1loci	f2loci	nsites	npoly	poly
Pr_Legacy_17-2.fq.gz	748942	10910	5906	536748	11667	0.0217365
Pr_SCA_02.fq.gz	777269	15716	8735	793701	14903	0.0187766
Pr_SCA_34-4.fq.gz	609077	35151	27566	2505425	17026	0.0067957
Pr_SCA_07-3.fq.gz	482654	13068	8414	765134	9937	0.0129873
Pr_SCA_19-3.fq.gz	482155	68898	60573	5506359	23059	0.0041877
Pr_SCA_40-4.fq.gz	428738	48345	41123	3739684	17360	0.0046421
Pr_SCA_36-4.fq.gz	414940	44295	37680	3426828	16736	0.0048838
Pr_SCA_20-3.fq.gz	390663	41201	35121	3192836	15112	0.0047331
Pr_SRI_02-PE_purged-1.fq_1.gz	196180	54210	49194	6931626	13227	0.0019082
Pr_SCA_12-3.fq.gz	389562	19648	14859	1350529	10248	0.0075881
Pr_SCI_03-PE_purged-1.fq_1.gz	191912	43621	38948	5487115	14452	0.0026338
Pr_Legacy_02.fq.gz	335108	32812	27280	2480269	19894	0.0080209
Pr_SCA_09-3.fq.gz	342840	33383	27985	2544829	12941	0.0050852
Pr_SCA_31-4.fq.gz	332284	44793	38801	3529153	15156	0.0042945
Pr_SCI_06-PE_purged-1.fq_1.gz	175731	15954	12765	1797766	6157	0.0034248
Pr_SCA_35-4.fq.gz	305384	55178	48821	4440844	16997	0.0038274
Pr_SCA_05-3.fq.gz	308614	4559	2402	218321	4871	0.0223112
Pr_Legacy_11-2.fq.gz	306231	18694	14671	1333820	11846	0.0088813
Pr_SCA_30-4.fq.gz	294894	14037	10264	933410	7749	0.0083018
Pr_SCA_03-3.fq.gz	297936	9367	6326	575152	6639	0.011543
Pr_SCA_27-4.fq.gz	277691	26357	21598	1964227	10618	0.0054057
Pr_SCA_17-3.fq.gz	274052	41963	36429	3313133	13964	0.0042147
Pr_SCI_05-PE_purged-1.fq_1.gz	143661	7972	5918	833294	3485	0.0041822
Pr_SCA_18-3.fq.gz	265133	28838	24289	2208851	10653	0.0048229
Pr_SCA_39-4.fq.gz	233813	20215	16138	1467888	8353	0.0056905
Pr_SCA_37-4.fq.gz	226124	55004	49389	4493479	15663	0.0034857
Pr_SCA_29-4.fq.gz	227029	30683	26202	2383626	10499	0.0044046
Pr_SRI_04-PE_purged-1.fq_1.gz	135687	6352	4544	639723	2871	0.0044879
Pr_Legacy_20-2.fq.gz	234062	6989	4723	429353	5558	0.0129451
Pr_Legacy_15-2.fq.gz	229086	7689	5114	464886	5748	0.0123643
Pr_SCA_38-4.fq.gz	209770	27384	22956	2088251	9801	0.0046934
Pr_SCI_04-PE_purged-1.fq_1.gz	126303	3753	2399	337626	2076	0.0061488
Pr_SCA_33-4.fq.gz	195657	25129	21018	1911965	9035	0.0047255
Pr_SRI_05-PE_purged-1.fq_1.gz	123629	4210	2731	384377	2100	0.0054634
Pr_SCI_01.fq.gz	173006	79564	73453	6684102	18978	0.0028393
Pr_SCA_32-4.fq.gz	192394	11566	8675	788905	5975	0.0075738
Pr_SCI_32.fq.gz	160732	55209	50034	4552360	13623	0.0029925
