taxa	H	E
Xv_JTS_07-2.fq	0.03356999	0.00755054	
Xr_SBI_36-5.fq	0.03674577	0.01545372	
Xr_SBI_40-5.fq	0.04203725	0.0109221	
Xr_SCL_32-5.fq	0.03545439	0.00852104	
Xv_JTS_23-2.fq	0.02055798	0.00501911	
Xr_SCL_35-5.fq	0.02085868	0.00562875	
Xr_SCL_41-5.fq	0.01501742	0.00371888	
Xv_JTS_15-2.fq	0.01421953	0.00420663	
Xr_SCL_40-5.fq	0.01632498	0.00417089	
Xr_SBI_10-2.fq	0.02624229	0.00625159	
Xv_JTS_14-2.fq	0.01644557	0.00431049	
Xr_SCL_03.fq	0.009493	0.00255618	
Xr_SCL_31-5.fq	0.02052484	0.00550856	
Xr_SBI_06-2.fq	0.03104784	0.00961251	
Xr_SBI_05-2.fq	0.031388	0.01021426	
Xr_SBI_25-2.fq	0.02351284	0.00592949	
Xv_JTS_11-2.fq	0.03024689	0.00811358	
Xv_JTS_05-2.fq	0.02394657	0.00626946	
Xr_SBI_45-5.fq	0.04159006	0.01423053	
Xr_SCL_37-5.fq	0.0074339	0.00189352	
Xr_SCL_42-5.fq	0.01582873	0.00464282	
Xv_JTS_06-2.fq	0.02148877	0.00577137	
Xr_SBI_14-2.fq	0.03307651	0.00812089	
Xv_JTS_09-2.fq	0.01848581	0.00464738	
Xr_SBI_21-2.fq	0.01808378	0.00500618	
Xv_JTS_16-2.fq	0.01648135	0.00415084	
Xv_JTS_08-2.fq	0.01534414	0.00377014	
Xr_SBI_18-2.fq	0.01859732	0.00545875	
Xv_JTS_25-2.fq	0.0261205	0.00675509	
Xv_JTS_13-2.fq	0.0237504	0.00642551	
Xv_JTS_19-2.fq	0.01152761	0.0029605	
Xr_SBI_16-2.fq	0.01781324	0.00446449	
Xr_SBI_24-2.fq	0.02547401	0.00623598	
Xr_SBI_23-2.fq	0.01994973	0.00497195	
Xr_SBI_13-2.fq	0.02448399	0.00626298	
Xr_SCL_30-5.fq	0.0217804	0.0062015	
Xv_JTS_24-2.fq	0.01585721	0.00398269	
Xv_JTS_12-2.fq	0.02291485	0.00612305	
Xr_SCL_33-5.fq	0.00509363	0.0014901	
Xv_JTS_18-2.fq	0.01216177	0.00316192	
Xv_JTS_17-2.fq	0.01134379	0.003176	
Xr_SBI_15-2.fq	0.02507946	0.00669305	
Xr_SCL_02b-2.fq	0.01226778	0.00296846	
Xr_SNI_22.fq	0.00523858	0.00270988	
Xr_SNI_23.fq	0.00576433	0.00292104	
Xr_SNI_04.fq	0.00656123	0.0029062	
Xv_JTS_21-2.fq	0.02660334	0.00619964	
Xr_SCL_39-5.fq	0.00858028	0.00249572	
Xr_SBI_17-2.fq	0.02066695	0.00543371	
Xr_SBI_22-2.fq	0.02560744	0.00728398	
Xr_SCL_34-5.fq	0.00520833	0.0013719	
Xv_JTS_10-2.fq	0.01200439	0.00313263	
Xv_JTS_20-2.fq	0.01103729	0.00299385	
Xr_SBI_09-2.fq	0.02489332	0.00624089	
Xr_SBI_19-2.fq	0.01866627	0.00444744	
Xr_SBI_07-2.fq	0.02254674	0.00592456	
Xr_SNI_20.fq	0.00587572	0.00276972	
Xr_SNI_13.fq	0.00597918	0.00256371	
Xr_SBI_20-2.fq	0.0228	0.00517461	
Xr_SCL_05-1.fq	0.00779901	0.0052017	
Xr_SBI_08-2.fq	0.03083879	0.00849797	
Xr_SBI_02b-2.fq	0.02340399	0.00560576	
Xr_SCL_15-1.fq	0.00986404	0.00580665	
Xr_SNI_24.fq	0.00754664	0.00330545	
Xv_JTS_22-2.fq	0.01148057	0.00282416	
Xr_SNI_48-5.fq	0.01458847	0.00406923	
Xr_SBI_11-2.fq	0.02278057	0.00561311	
Xr_SCL_27-PE_purged.fq_1	0.00610058	0.0027048	
Xr_SCL_28-PE_purged.fq_1	0.00516001	0.00255457	
Xr_SNI_09.fq	0.00629164	0.00225602	
Xv_JTS_26-2.fq	0.01523269	0.00353332	
Xr_SNI_21.fq	0.00749081	0.00416169	
Xr_SNI_45-5.fq	0.0053751	0.00155287	
Xr_SBI_12-2.fq	0.01607707	0.00396905	
Xr_SCL_18.fq	0.0067077	0.00330557	
Xr_SCL_08.fq	0.00675541	0.00284341	
Xr_SCL_16.fq	0.01732786	0.00796234	
Xr_SNI_06.fq	0.00677897	0.00288929	
Xr_SCL_23.fq	0.00593456	0.00301736	
Xr_SCL_22.fq	0.00583855	0.00319634	
Xr_SNI_44-5.fq	0.00680474	0.00212202	
Xr_SBI_31-4.fq	0.01410401	0.00420117	
Xr_SCL_10.fq	0.00613695	0.00362856	
Xr_SNI_25.fq	0.00832643	0.0037611	
Xr_SCL_14.fq	0.00639207	0.00324502	
Xr_SNI_46-5.fq	0.01054498	0.00300541	
Xr_SNI_16.fq	0.00508034	0.00225843	
Xr_SCL_21.fq	0.00637495	0.00322664	
Xr_SCL_07-1.fq	0.0108421	0.00626185	
