taxon          	nloci	f1loci	f2loci	nsites	npoly	poly
Xr_SBI_04-PE_purged.fq_1.gz	716334	22169	20241	2852557	3607	0.0012645
Xr_SBI_33-4.fq.gz	707552	11593	8094	735462	5954	0.0080956
Xr_SNI_28-PE_purged.fq_1.gz	746098	34153	32007	4511964	4801	0.0010641
Xr_SBI_03-PE_purged.fq_1.gz	505078	9875	8530	1201490	1949	0.0016222
Xr_SNI_32-5.fq.gz	574852	8271	5657	514110	4690	0.0091226
Xr_SBI_26-4.fq.gz	609843	22946	19343	1757393	6789	0.0038631
Xr_SBI_30-4.fq.gz	538942	27561	23940	2175383	7524	0.0034587
Xr_SNI_15.fq.gz	297485	86130	82563	7512683	12936	0.0017219
Xv_JTS_03-PE_purged.fq_1.gz	362438	18243	16734	2357823	7583	0.0032161
Xr_SCL_12.fq.gz	344443	81899	78053	7102333	15341	0.00216
Xr_SNI_27-PE_purged.fq_1.gz	335567	3050	2221	312704	875	0.0027982
Xr_SBI_29-4.fq.gz	461570	16770	14023	1274366	5122	0.0040193
Xr_SNI_33-5.fq.gz	450694	9058	6731	612000	3965	0.0064788
Xr_SBI_39-5.fq.gz	444744	43633	40279	3664125	6334	0.0017287
Xr_SBI_28-4.fq.gz	415932	9594	7495	681175	3669	0.0053863
Xr_SBI_34-5.fq.gz	413327	5363	3510	319024	3173	0.009946
Xr_SNI_19.fq.gz	307815	57561	55124	5015488	8227	0.0016403
Xr_SNI_35-5.fq.gz	410042	6137	4327	393341	3170	0.0080592
Xr_SNI_26.fq.gz	295324	80497	76913	6998245	9421	0.0013462
Xr_SNI_14.fq.gz	215425	87971	84333	7673694	12483	0.0016267
Xr_SNI_17.fq.gz	279681	67273	64617	5879625	8344	0.0014191
Xr_SBI_27-4.fq.gz	402525	3712	2031	184456	2885	0.0156406
Xr_SCL_13.fq.gz	284572	59685	56759	5164000	10984	0.002127
Xr_SNI_34-5.fq.gz	396378	3308	1573	142779	2795	0.0195757
Xr_SBI_35-5.fq.gz	395921	3170	1602	145491	2562	0.0176093
Xr_SNI_43-5.fq.gz	358883	29330	27136	2468666	4812	0.0019492
Xv_JTS_04-PE_purged.fq_1.gz	198507	65523	62731	8846634	28257	0.0031941
Xr_SBI_32-4.fq.gz	351870	15294	13019	1182970	4757	0.0040212
Xr_SCL_25.fq.gz	254351	56665	53829	4897188	10463	0.0021365
Xr_SNI_31-5.fq.gz	359538	2829	1420	128946	2481	0.0192406
Xr_SNI_11.fq.gz	277924	45396	42397	3856908	7294	0.0018912
Xr_SNI_03.fq.gz	227161	56221	53445	4862189	14640	0.003011
Xr_SNI_39-5.fq.gz	333976	22391	20149	1832845	4226	0.0023057
Xr_SBI_43-5.fq.gz	343782	4684	3267	297057	2398	0.0080725
Xr_SNI_37-5.fq.gz	337280	7315	5631	511986	2904	0.005672
Xr_SNI_36-5.fq.gz	334050	7191	5597	508845	2985	0.0058662
Xr_SNI_18.fq.gz	244605	55192	52730	4797407	7365	0.0015352
Xr_SBI_41-5.fq.gz	312089	44648	41842	3806766	5511	0.0014477
Xr_SBI_38-5.fq.gz	315887	20780	18646	1696085	4070	0.0023996
Xr_SCL_26.fq.gz	249931	43326	40776	3709737	7844	0.0021144
Xr_SCL_38-5.fq.gz	321010	3537	1993	180987	2652	0.014653
Xr_SNI_05.fq.gz	249918	55130	51863	4718632	8258	0.0017501
Xr_SCL_20.fq.gz	224153	49406	46905	4267550	8894	0.0020841
Xr_SCL_09.fq.gz	213997	54915	52613	4787004	9513	0.0019873
Xr_SCL_19.fq.gz	212927	46177	43783	3982542	9003	0.0022606
Xr_SBI_42-5.fq.gz	315837	3304	2095	190450	2044	0.0107325
Xr_SCL_17.fq.gz	224868	40581	38659	3516927	7838	0.0022287
Xr_SNI_10.fq.gz	224445	51635	48932	4451750	8250	0.0018532
Xr_SNI_40-5.fq.gz	284515	35956	33986	3092263	4762	0.00154
Xr_SCL_29-5.fq.gz	288929	29758	27526	2504017	5625	0.0022464
Xr_SNI_41-5.fq.gz	276097	41020	38899	3539208	5153	0.001456
Xr_SNI_08.fq.gz	162321	65524	62785	5711353	10210	0.0017877
Xr_SBI_44-5.fq.gz	287979	7480	6041	549467	2450	0.0044589
Xr_SBI_37-5.fq.gz	278978	42849	40359	3671795	5135	0.0013985
Xr_SNI_12.fq.gz	196740	38627	36373	3307803	6484	0.0019602
Xr_SCL_24.fq.gz	200386	49301	46932	4270034	8692	0.0020356
Xr_SCL_04.fq.gz	192439	43440	41184	3746054	9306	0.0024842
Xr_SNI_07.fq.gz	175000	72161	69072	6284765	10860	0.001728
Xr_SCL_06.fq.gz	191286	51198	48894	4448456	7687	0.001728
Xr_SCL_07-1.fq.gz	209417	16470	15027	1366325	4505	0.0032972
Xr_SCL_11.fq.gz	173358	54054	51763	4709527	9390	0.0019938
Xr_SCL_21.fq.gz	179492	47037	44892	4084577	7881	0.0019295
Xr_SNI_46-5.fq.gz	254820	17966	16413	1493078	2994	0.0020053
